Node	Beg	End
ZMW18-10	18345	18818
ZMW18-10	23035	23264
ZMW18-10	25173	25757
ZMW18-10	27081	27115
ZMW18-10	27515	27768
ZMW18-11	899	2329
ZMW18-11	2573	2956
ZMW18-11	4708	5881
ZMW18-11	6681	7463
ZMW18-11	7919	8109
ZMW18-11	13737	13793
ZMW18-11	18276	18554
ZMW18-11	23129	23267
ZMW18-11	23500	23513
ZMW18-11	23837	23919
ZMW18-11	25061	25822
ZMW18-11	27097	27768
ZMW19-09	898	2423
ZMW19-09	2607	2841
ZMW19-09	4674	5078
ZMW19-09	5233	5867
ZMW19-09	6701	7208
ZMW19-09	7418	7616
ZMW19-09	7848	7962
ZMW19-09	15426	15429
ZMW19-09	18357	18737
ZMW19-09	19356	19434
ZMW19-09	23068	24008
ZMW19-09	25130	25816
ZMW19-09	27201	27661
ZMW19-13	902	2969
ZMW19-13	4951	5117
ZMW19-13	5691	5872
ZMW19-13	6692	7616
ZMW19-13	18531	18813
ZMW19-13	19356	19382
ZMW19-13	23758	23830
ZMW19-13	25067	25816
ZMW19-13	27304	27768
ZMW19-17	1	3
ZMW19-17	918	2968
ZMW19-17	4697	5139
ZMW19-17	5337	5865
ZMW19-17	6698	6753
ZMW19-17	7020	7616
ZMW19-17	7874	7920
ZMW19-17	8097	8099
ZMW19-17	8460	8463
ZMW19-17	13670	13673
ZMW19-17	18507	18741
ZMW19-17	23172	23847
ZMW19-17	25066	25663
ZMW19-17	27050	27768
ZMW20-03	910	1360
ZMW20-03	1525	2975
ZMW20-03	4698	5873
ZMW20-03	6891	7096
ZMW20-03	7518	7616
ZMW20-03	7920	8224
ZMW20-03	8460	8503
ZMW20-03	13670	13768
ZMW20-03	15063	15070
ZMW20-03	18466	18812
ZMW20-03	19356	19363
ZMW20-03	23098	23418
ZMW20-03	25066	25749
ZMW20-03	27076	27768
ZMW20-04	913	2974
ZMW20-04	4674	5867
ZMW20-04	6681	6751
ZMW20-04	6914	7387
ZMW20-04	7919	8199
ZMW20-04	8460	8485
ZMW20-04	18257	18596
ZMW20-04	23079	23376
ZMW20-04	23577	23918
ZMW20-04	25142	25822
ZMW20-04	27469	27768
ZMW20-07	919	2413
ZMW20-07	2615	2871
ZMW20-07	4676	4940
ZMW20-07	5140	5506
ZMW20-07	5681	5869
ZMW20-07	6639	7613
ZMW20-07	7778	7885
ZMW20-07	14974	15045
ZMW20-07	18251	18812
ZMW20-07	19189	19214
ZMW20-07	23071	23100
ZMW20-07	23397	23822
ZMW20-07	25060	25596
ZMW20-07	27077	27768
ZMW20-14	902	1561
ZMW20-14	1714	2853
ZMW20-14	4667	4722
ZMW20-14	5337	5873
ZMW20-14	6681	6693
ZMW20-14	6904	7338
ZMW20-14	7874	8209
ZMW20-14	13737	13793
ZMW20-14	18448	18732
ZMW20-14	19354	19360
ZMW20-14	23239	23562
ZMW20-14	25032	25596
ZMW20-14	27078	27157
ZMW20-14	27422	27768
ZMW20-15	1	93
ZMW20-15	902	2410
ZMW20-15	2610	2968
ZMW20-15	4676	5880
ZMW20-15	6665	7237
ZMW20-15	7589	7595
ZMW20-15	7803	8092
ZMW20-15	13739	13793
ZMW20-15	18449	18708
ZMW20-15	23026	24002
ZMW20-15	25061	25653
ZMW20-15	27064	27768
ZMW20-16	898	1534
ZMW20-16	1691	2323
ZMW20-16	2523	2972
ZMW20-16	4828	5263
ZMW20-16	5626	5824
ZMW20-16	6712	6942
ZMW20-16	7093	7617
ZMW20-16	7813	8191
ZMW20-16	18257	18791
ZMW20-16	19354	19376
ZMW20-16	23025	23418
ZMW20-16	23722	23832
ZMW20-16	25038	25559
ZMW20-16	27050	27652
